id,nombre_oficial,alias_busqueda,categoria,ciudad,tipo_busqueda,prioridad,lat,lng,fuente,notas
1,Ciudad del Este,cde,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
2,Ciudad del Este,ciudad este,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
3,Ciudad del Este,ciudad del este,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
4,Ciudad del Este,ciudaddeleste,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
5,Presidente Franco,presidente franco,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
6,Presidente Franco,presidentefranco,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
7,Presidente Franco,pte franco,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
8,Presidente Franco,ptefranco,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
9,Hernandarias,hernandarias,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
10,Minga Guazu,minga guazu,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
11,Minga Guazu,mingaguazu,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
12,Los Cedrales,cedrales,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
13,Los Cedrales,los cedrales,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
14,Los Cedrales,loscedrales,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
15,Santa Rita,santa rita,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
16,Santa Rita,santarita,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
17,Santa Rita,sta rita,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
18,Santa Rita,starita,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
19,Naranjal,naranjal,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
20,Juan Leon Mallorquin,juan leon mallorquin,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
21,Juan Leon Mallorquin,juanleonmallorquin,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
22,Yguazu,yguazu,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
23,Domingo Martinez de Irala,domingo martinez irala,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
24,Domingo Martinez de Irala,domingo martinez de irala,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
25,Domingo Martinez de Irala,domingomartinezdeirala,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
26,Santa Fe del Parana,santa fe parana,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
27,Santa Fe del Parana,santa fe del parana,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
28,Santa Fe del Parana,santafedelparana,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
29,Santa Fe del Parana,sta fe del parana,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
30,Santa Fe del Parana,stafedelparana,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
31,San Alberto,s alberto,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
32,San Alberto,salberto,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
33,San Alberto,san alberto,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
34,San Alberto,sanalberto,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
35,Itakyry,itakyry,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
36,Mbaracayu,mbaracayu,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
37,San Cristobal,s cristobal,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
38,San Cristobal,san cristobal,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
39,San Cristobal,sancristobal,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
40,San Cristobal,scristobal,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
41,Iruña,iruna,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
42,Santa Rosa del Monday,santa rosa monday,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
43,Santa Rosa del Monday,santa rosa del monday,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
44,Santa Rosa del Monday,santarosadelmonday,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
45,Santa Rosa del Monday,sta rosa del monday,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
46,Santa Rosa del Monday,starosadelmonday,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
47,Tavapy,tavapy,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
48,Dr. Raul Peña,dr raul pena,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
49,Dr. Raul Peña,drraulpena,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
50,Ñacunday,nacunday,ciudad,Alto Parana,ciudad,85,,,curado_local/manual,
51,Centro,centro,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
52,Microcentro,microcentro,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
53,Area 1,area 1,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
54,Area 1,area1,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
55,Area 2,area 2,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
56,Area 2,area2,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
57,Area 3,area 3,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
58,Area 3,area3,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
59,Area 4,area 4,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
60,Area 4,area4,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
61,Ciudad Nueva,ciudad nueva,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
62,Ciudad Nueva,ciudadnueva,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
63,Boqueron,boqueron,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
64,San Jose,s jose,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
65,San Jose,san jose,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
66,San Jose,sanjose,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
67,San Jose,sjose,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
68,Don Bosco,don bosco,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
69,Don Bosco,donbosco,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
70,Remansito,remansito,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
71,Pablo Rojas,pablo rojas,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
72,Pablo Rojas,pablorojas,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
73,Acaray,acaray,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
74,Monday,monday,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
75,San Rafael,s rafael,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
76,San Rafael,san rafael,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
77,San Rafael,sanrafael,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
78,San Rafael,srafael,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
79,San Miguel,s miguel,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
80,San Miguel,san miguel,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
81,San Miguel,sanmiguel,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
82,San Miguel,smiguel,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
83,Santa Ana,santa ana,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
84,Santa Ana,santaana,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
85,Santa Ana,sta ana,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
86,Santa Ana,staana,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
87,San Juan,s juan,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
88,San Juan,san juan,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
89,San Juan,sanjuan,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
90,San Juan,sjuan,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
91,San Antonio,s antonio,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
92,San Antonio,san antonio,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
93,San Antonio,sanantonio,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
94,San Antonio,santonio,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
95,San Isidro,s isidro,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
96,San Isidro,san isidro,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
97,San Isidro,sanisidro,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
98,San Isidro,sisidro,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
99,San Alfredo,s alfredo,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
100,San Alfredo,salfredo,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
101,San Alfredo,san alfredo,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
102,San Alfredo,sanalfredo,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
103,Villa Fanny,villa fanny,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
104,Villa Fanny,villafanny,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
105,Villa Bancaria,villa bancaria,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
106,Villa Bancaria,villabancaria,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
107,Jardin del Este,jardin este,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
108,Jardin del Este,jardin del este,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
109,Jardin del Este,jardindeleste,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
110,La Blanca,blanca,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
111,La Blanca,la blanca,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
112,La Blanca,lablanca,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
113,Che La Reina,che reina,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
114,Che La Reina,che la reina,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
115,Che La Reina,chelareina,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
116,29 de Septiembre,29 septiembre,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
117,29 de Septiembre,29 de septiembre,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
118,29 de Septiembre,29deseptiembre,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
119,23 de Octubre,23 octubre,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
120,23 de Octubre,23 de octubre,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
121,23 de Octubre,23deoctubre,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
122,Carolina,carolina,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
123,Fátima,fatima,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
124,Obrero,obrero,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
125,Km 4,km 4,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
126,Km 4,km4,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
127,Km 5,km 5,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
128,Km 5,km5,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
129,Km 6,km 6,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
130,Km 6,km6,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
131,Km 7,km 7,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
132,Km 7,km7,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
133,Km 8,km 8,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
134,Km 8,km8,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
135,Km 9,km 9,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
136,Km 9,km9,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
137,Km 10,km 10,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
138,Km 10,km10,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
139,Km 11,km 11,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
140,Km 11,km11,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
141,Km 12,km 12,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
142,Km 12,km12,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
143,Km 13,km 13,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
144,Km 13,km13,barrio_zona,Ciudad del Este,barrio,90,,,curado_local/manual,
